Channel_Name,Channel_Id,Description,Independent,Archetypes
ZAMZAM ELECTRONICS TRADING,UCrnQFuUabBHaw-BRhPo8xEA,"ZAMZAM ELECTRONICS TRADING appears to be a corporate YouTube channel related to electronics trading. The channel may feature product demonstrations, reviews, or information related to electronic goods and trading.",No,Corporate / Non-Youtuber
Fede Vigevani,UCoQm-PeHC-cbJclKJYJ8LzA,"Fede Vigevani is an independent Spanish-language YouTube channel featuring lifestyle vlogs, challenges, and entertainment content. With a focus on humor and relatable experiences, Fede Vigevani engages viewers in a variety of entertaining videos.",Yes,Variety / General Entertainment
StarPlus,UCI3AqxtObAA2KgpJ9VgDRjw,"StarPlus is a corporate YouTube channel representing StarPlus, one of India's leading Hindi entertainment television channels. The channel features trailers, promos, and highlights from StarPlus' diverse range of television shows and dramas.",No,Corporate / Non-Youtuber
Ryan's World,UChGJGhZ9SOOHvBB0Y4DOO_w,"Ryan's World is a corporate YouTube channel representing the popular children's brand associated with Ryan Kaji. The channel features a variety of entertaining and educational content for kids, including toy reviews, challenges, and family-friendly adventures.",No,Corporate / Non-Youtuber
Markiplier,UC7_YxT-KID8kRbqZo7MyscQ,"Markiplier is an independent gaming and entertainment YouTube channel hosted by Mark Fischbach. Known for his energetic and humorous gaming commentary, Let's Plays, and vlogs, Markiplier has become a prominent figure in the online gaming community.",Yes,Gaming
Jingle Toons,UCK9F8nycURBsR0YlrBsu1Ag,"Jingle Toons is a corporate YouTube channel featuring animated content and educational videos for children. With a focus on creating a playful learning environment, Jingle Toons engages young viewers with colorful animations and catchy tunes.",No,Corporate / Non-Youtuber
T-Series Apna Punjab,UCcvNYxWXR_5TjVK7cSCdW-g,"T-Series Apna Punjab is a corporate YouTube channel representing T-Series, featuring Punjabi music videos, songs, and content. The channel caters to fans of Punjabi music, showcasing a diverse range of artists and genres.",No,Corporate / Non-Youtuber
DaFuq!?Boom!,UCsSsgPaZ2GSmO6il8Cb5iGA,"DaFuq!?Boom! appears to be an independent YouTube channel, but without specific content details, it's challenging to provide a detailed description. The channel's content could range from gaming to vlogs or other forms of entertainment.",Yes,Variety / General Entertainment
Geet MP3,UClZF7OsrECe3t_ADrjZEh_Q,"Geet MP3 is a corporate YouTube channel representing the music label Geet MP3, known for Punjabi music. The channel features Punjabi songs, music videos, and collaborations, offering a platform for Punjabi music enthusiasts.",No,Corporate / Non-Youtuber
Galinha Pintadinha,UCBAb_DK4GYZqZR9MFA7y2Xg,"Galinha Pintadinha is a corporate YouTube channel featuring animated content and nursery rhymes for children. The channel is associated with the popular Brazilian children's brand, providing entertaining and educational content for young viewers.",No,Corporate / Non-Youtuber
PANDA BOI,UC0Wju2yvRlfwqraLlz5152Q,"PANDA BOI appears to be an independent YouTube channel, but without specific content details, it's challenging to provide a detailed description. The channel's content could include gaming, vlogs, or other forms of entertainment.",Yes,Variety / General Entertainment
Rajshri,UCEKWXRsfUHkan-D_ljU8Asw,"Rajshri is a corporate YouTube channel associated with Rajshri Productions, known for its Indian films and television shows. The channel features a variety of content, including movie trailers, songs, and promotional videos.",No,Corporate / Non-Youtuber
AboFlah,UCqq5n-Oe-r1EEHI3yvhVJcA,"AboFlah appears to be an independent Arabic-language YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics such as vlogs, challenges, or entertainment.",Yes,Variety / General Entertainment
KL BRO Biju Rithvik,UCL5nlHWXVLeOsSjKH2fhmsg,"KL BRO Biju Rithvik is an independent Malayalam-language YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could cover a range of topics based on the language and regional context.",Yes,Vlogs / Lifestyle
CVS 3D Rhymes & Kids Songs,UCsPF3cApzCohxPp5oKdoWSQ,"CVS 3D Rhymes & Kids Songs is a corporate YouTube channel producing animated nursery rhymes and educational content for children. With colorful animations and engaging tunes, the channel creates an interactive and educational experience for young viewers.",No,Corporate / Non-Youtuber
Ch3Thailand,UC48h7Dst_hX82HxOf3xJw_w,"Ch3Thailand is a corporate YouTube channel representing Channel 3 Thailand, featuring a variety of Thai television dramas, shows, and entertainment content. The channel caters to a diverse audience with its engaging programming.",No,Corporate / Non-Youtuber
Selena Gomez,UCwppdrjsBPAZg5_cUwQjfMQ,"Selena Gomez's official YouTube channel is a corporate account featuring the music videos, performances, and exclusive content of the American singer and actress. The channel provides fans with a glimpse into Selena Gomez's musical journey and creative projects.",No,Corporate / Non-Youtuber
J Balvin,UCrHL_BF5lHyK43BxLU8-vBQ,"J Balvin's official YouTube channel is a corporate account representing the Colombian reggaeton artist. The channel features J Balvin's music videos, performances, and exclusive content, showcasing his influence in the Latin music industry.",No,Corporate / Non-Youtuber
Dushyant kukreja,UCo6y9hnRawAqtyWhRhblXqg,"Dushyant Kukreja is an independent YouTuber known for creating content related to technology, gadgets, and reviews. With a focus on sharing insights into the latest tech trends, Dushyant provides informative and engaging videos for tech enthusiasts.",Yes,Variety / General Entertainment
SSSniperWolf,UCpB959t8iPrxQWj7G6n0ctQ,"SSSniperWolf, also known as Lia, is an independent gaming and lifestyle YouTuber. With a charismatic personality, SSSniperWolf creates content ranging from gameplay videos and reaction videos to vlogs, captivating a wide audience in the online gaming community.",Yes,Variety / General Entertainment
VEGETTA777,UCam8T03EOFBsNdR0thrFHdQ,"VEGETTA777, hosted by Samuel de Luque, is an independent Spanish-speaking gaming YouTuber known for his energetic commentary and Let's Play videos. With a focus on a variety of gaming genres, VEGETTA777 has built a dedicated fanbase in the gaming community.",Yes,Gaming
Alan Chikin Chow,UC5gxP-2QqIh_09djvlm9Xcg,"Alan Chikin Chow is an independent YouTuber known for his comedic and entertaining content, including vlogs, challenges, and skits. With a lighthearted approach, Alan engages his audience with a mix of humor and relatable experiences.",Yes,Variety / General Entertainment
MrBeast 2,UCX6OQ3DkcsbYNE6H8uQQuVA,"MrBeast 2 is a secondary channel affiliated with the well-known YouTuber MrBeast (Jimmy Donaldson). While the primary channel focuses on philanthropy and large-scale challenges, MrBeast 2 features additional content, including behind-the-scenes footage and bonus material.",Yes,Variety / General Entertainment
BabyBus - Kids Songs and Cartoons,UCpYye8D5fFMUPf9nSfgd4bA,"BabyBus is a corporate YouTube channel providing animated content and educational videos for young children. With a focus on early childhood development, BabyBus offers a variety of engaging cartoons, nursery rhymes, and educational stories.",No,Corporate / Non-Youtuber
Desi Music Factory,UCLtNvbkqea8wN_kGtfgx_Mw,"Desi Music Factory is a corporate YouTube channel representing a music label known for producing and promoting Indian music. The channel features a variety of music videos, singles, and collaborations, catering to fans of contemporary Indian music.",No,Corporate / Non-Youtuber
Frost Diamond,UC4hGmH5sABOA70D4fGb8qNQ,"Frost Diamond is an independent gaming content creator known for Minecraft gameplay videos, challenges, and mods. With a passion for Minecraft and a creative approach to gaming, Frost Diamond provides entertaining content for the Minecraft community.",Yes,Gaming
DisneyMusicVEVO,UCgwv23FVv3lqh567yagXfNg,"DisneyMusicVEVO is a corporate YouTube channel representing Disney's official music content. The channel features music videos, soundtracks, and songs from Disney movies, showcasing the iconic music that accompanies beloved Disney stories.",No,Corporate / Non-Youtuber
The Weeknd,UCF_fDSgPpBQuh1MsUTgIARQ,"The Weeknd's official YouTube channel is a corporate account representing the Grammy-winning artist. The channel features The Weeknd's music videos, live performances, and exclusive content, offering fans an immersive experience into his musical journey.",No,Corporate / Non-Youtuber
WowKidz,UCN8S4CqMRy6tVKVXvs7Bzeg,"WowKidz is a corporate YouTube channel providing animated content and cartoons for children. With a focus on entertaining and educational animated series, WowKidz offers a safe and enjoyable viewing experience for young audiences.",No,Corporate / Non-Youtuber
MR. INDIAN HACKER,UCuEvoBtMpS6UjqLc9c1BpSQ,"MR. INDIAN HACKER is an independent Indian YouTuber known for creating content related to technology, life hacks, and DIY projects. With a flair for innovation, MR. INDIAN HACKER shares creative ideas and solutions in an engaging manner.",Yes,Variety / General Entertainment
GMA Network,UCKL5hAuzgFQsyrsQKgU0Qng,"GMA Network's official YouTube channel is a corporate account representing one of the leading television networks in the Philippines. The channel features a variety of content, including show highlights, interviews, and exclusive clips from GMA Network's programs.",No,Corporate / Non-Youtuber
KAROL G,UCz9yS18zJGQObwUL_K-ICnw,"KAROL G's official YouTube channel is a corporate account representing the Colombian reggaeton and Latin music artist. The channel showcases KAROL G's music videos, performances, and exclusive behind-the-scenes content, highlighting her impact in the music industry.",No,Corporate / Non-Youtuber
KHANDESHI MOVIES,UCP84QWij0alw4MvzqzyfOnw,"KHANDESHI MOVIES is a corporate YouTube channel associated with Khandeshi Movies, known for its Indian regional language comedy videos and skits. The channel features entertaining content in the Khandeshi dialect.",No,Corporate / Non-Youtuber
NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,"NoCopyrightSounds (NCS) is a corporate YouTube channel providing copyright-free music for content creators. The channel offers a diverse range of electronic music, allowing creators to use high-quality music in their videos without copyright restrictions.",No,Corporate / Non-Youtuber
Eros Now Music,UCX52tYZiEh_mHoFja3Veciw,"Eros Now Music is a corporate YouTube channel representing Eros Now, featuring a variety of Indian music videos, singles, and soundtracks. The channel caters to fans of Bollywood and Indian music, showcasing a diverse range of artists.",No,Corporate / Non-Youtuber
Lucas and Marcus,UCwD4x63A9KC7Si2RuSfg-SA,"Lucas and Marcus are independent YouTubers known for their vlogs, challenges, and entertaining content. With a focus on family-friendly and relatable videos, the duo engages their audience with a mix of humor and positive energy.",Yes,Variety / General Entertainment
Peppa Pig - Official Channel,UCAOtE1V7Ots4DjM8JLlrYgg,"Peppa Pig - Official Channel is a corporate YouTube channel representing the popular children's animated series. The channel features episodes, songs, and content related to Peppa Pig, providing a fun and educational experience for young viewers.",No,Corporate / Non-Youtuber
Zee News,UC8dnBi4WUErqYQHZ4PfsLTg,"Zee News is a corporate YouTube channel representing one of India's leading news networks. The channel features news coverage, debates, and current affairs, providing viewers with timely and credible information on a wide range of topics.",No,Corporate / Non-Youtuber
Shorts Break,UCgJ5_1F6yJhYLnyMszUdmUg,"Shorts Break is an independent YouTube channel featuring short films, sketches, and entertaining content. With a focus on bite-sized entertainment, Shorts Break provides viewers with a quick and enjoyable break from the routine.",Yes,Comedy / Humor 
Worldwide Records Bhojpuri,UCbomPUMyPHCgrqD5iYnzj1A,"Worldwide Records Bhojpuri is a corporate YouTube channel associated with Worldwide Records, specializing in Bhojpuri music. The channel features Bhojpuri songs, music videos, and entertainment content, catering to fans of the Bhojpuri music industry.",No,Corporate / Non-Youtuber
Mr Bean,UCX6OQ3DkcsbYNE6H8uQQuVA,"Mr Bean's official YouTube channel is a corporate account representing the iconic character created by Rowan Atkinson. The channel features classic Mr Bean sketches, episodes, and exclusive content, providing fans with timeless comedic moments.",No,Corporate / Non-Youtuber
rezendeevil,UCbTVTephX30ZhQF5zwFppBg,"Rezendeevil is an independent Brazilian gaming and entertainment YouTuber known for his Let's Play videos, vlogs, and comedic content. With a dynamic and energetic style, Rezendeevil engages his audience with a variety of entertaining videos.",Yes,Variety / General Entertainment
SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,"SMTOWN is a corporate YouTube channel representing SM Entertainment, a South Korean entertainment company. The channel features music videos, performances, and exclusive content from SM Entertainment's roster of K-pop artists.",No,Corporate / Non-Youtuber
DONA 도나,UCTheFErn4MureanSiqgKIag,"DONA 도나 appears to be an independent Korean YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the language and regional context.",Yes,Variety / General Entertainment
Zhong,UCyagEfIN1okQ-s996XAqCFQ,"Zhong appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could cover various topics, and the categorization as independent or corporate may depend on the nature of the content.",Yes,Variety / General Entertainment
Dream,UCXc3ye1CUoy2roNeZZB_rNA,"Dream is an independent Minecraft gaming channel known for its Minecraft Manhunt series. Dream creates engaging and suspenseful Minecraft content, including challenges, speedruns, and collaborations, captivating a large audience in the gaming community.",Yes,Gaming
GENIAL,UCbrd1vu4_7qIE6IPV_dA-OA,"GENIAL is a corporate YouTube channel representing the brand known for its educational and informative content. The channel features videos on various topics, including life hacks, science, and interesting facts, providing viewers with a mix of entertaining and educational content.",No,Corporate / Non-Youtuber
HUM TV,UCMmpLL2ucRHAXbNHiCPyIyg,"HUM TV's official YouTube channel is a corporate account representing one of Pakistan's leading entertainment television channels. The channel features dramas, shows, and exclusive content, offering viewers a platform to enjoy HUM TV's diverse range of programming.",No,Corporate / Non-Youtuber
Luis Fonsi,UCLp8RBhQHu9wSsq62j_Md6A,"Luis Fonsi's official YouTube channel is a corporate account representing the Puerto Rican singer and songwriter. The channel features Luis Fonsi's music videos, performances, and exclusive content, showcasing his contributions to the Latin music scene.",No,Corporate / Non-Youtuber
JustinBieberVEVO,UCHkj014U2CQ2Nv0UZeYpE_A,"JustinBieberVEVO is a corporate YouTube channel representing the iconic Canadian singer Justin Bieber. The channel features Justin Bieber's music videos, performances, and exclusive content, offering fans a comprehensive collection of his musical journey.",No,Corporate / Non-Youtuber
Round2hell,UCt4atlExw8aj3Bm79nv1fig,"Round2hell is an independent Indian YouTube channel known for its comedic sketches, vlogs, and relatable content. With a focus on humor and everyday situations, Round2hell engages its audience with a unique blend of entertainment.",Yes,Variety / General Entertainment
व्लाद और निकिता,UCvlE5gTbOvjiolFlEm-c_Ow,"व्लाद और निकिता (Vlad and Nikita) appears to be an independent Russian-language YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content likely caters to a family or children's audience.",Yes,Kids / Family
Enaldinho,UC2bYhAHyaqfWlPXWBVk4BcA,"Enaldinho is an independent Brazilian YouTuber known for his comedic sketches, challenges, and gaming content. With a playful and energetic style, Enaldinho entertains his audience with a variety of engaging videos.",Yes,Variety / General Entertainment
The Tonight Show Starring Jimmy Fallon,UC8-Th83bH_thdKZDJCrn88g,"The Tonight Show Starring Jimmy Fallon is a corporate YouTube channel representing the popular American late-night talk show hosted by Jimmy Fallon. The channel features highlights, interviews, and entertaining segments from the show.",No,Corporate / Non-Youtuber
ImagineDragons,UCpx_k19S2vUutWUUM9qmXEg,"ImagineDragons is a corporate YouTube channel representing the Grammy-winning rock band Imagine Dragons. The channel features the band's music videos, live performances, and exclusive content, offering fans an immersive experience into their musical world.",No,Corporate / Non-Youtuber
Junya.じゅんや,UCjp_3PEaOau_nT_3vnqKIvg,"Junya.じゅんや appears to be an independent Japanese YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could cover various topics based on the language and regional context.",Yes,Variety / General Entertainment
Gulshan Kalra,UC56dNUTok1pgvpY75CsJQ4Q,"Gulshan Kalra appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could cover a variety of topics based on the context.",Yes,Variety / General Entertainment
قناة طيور الجنة | toyoraljanahtv,UCozAuGJZ5MPoijz8IE_1Gtw,"قناة طيور الجنة | toyoraljanahtv is a corporate YouTube channel associated with the popular Arabic children's brand. The channel features animated content, songs, and educational videos, creating an engaging and entertaining space for young Arabic-speaking viewers.",No,Corporate / Non-Youtuber
Little Angel: Nursery Rhymes & Kids Songs,UCNzsYU0aWwjERj-9Y9HUEng,"Little Angel: Nursery Rhymes & Kids Songs is a corporate YouTube channel providing animated nursery rhymes and children's songs. With colorful animations and catchy tunes, the channel creates an interactive and educational experience for young viewers.",No,Corporate / Non-Youtuber
Adele,UComP_epzeKzvBX156r6pm1Q,"Adele's official YouTube channel is a corporate account representing the Grammy-winning British singer. The channel features Adele's music videos, performances, and exclusive content, offering fans a glimpse into her powerful and emotive musical journey.",No,Corporate / Non-Youtuber
Beast Reacts,UCX6OQ3DkcsbYNE6H8uQQuVA,"Beast Reacts appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include reaction videos, commentary, or other forms of entertainment.",Yes,Variety / General Entertainment
AH,UCeEi1My3KTXHT0SG1JkR9gA,"AH appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could cover a variety of topics based on the context.",Yes,Variety / General Entertainment
jacksepticeye,UCYzPXprvl5Y-Sf0g4vX-m6g,"jacksepticeye is an independent Irish gaming YouTuber known for his Let's Play videos, vlogs, and comedic content. With a charismatic and energetic style, jacksepticeye has become a prominent figure in the online gaming community.",Yes,Gaming
Talking Tom,UCm3hAp1m1xlAz0ve_EKAo4g,"Talking Tom is a corporate YouTube channel associated with the popular virtual pet app franchise. The channel features animated content, episodes, and songs related to the Talking Tom and Friends characters, providing entertainment for a family-friendly audience.",No,Corporate / Non-Youtuber
Trap Nation,UCM9KEEuzacwVlkt9JfJad7g,"Trap Nation is a corporate YouTube channel representing a music promotion platform. The channel features a variety of electronic and trap music, showcasing tracks from various artists and producers in the genre.",No,Corporate / Non-Youtuber
Boram Tube Vlog [보람튜브 브이로그],UCU2zNeYhf9pi_wSqFbYE96w,"Boram Tube Vlog [보람튜브 브이로그] is a corporate YouTube channel associated with the South Korean Boram Tube, a children's content brand. The channel features vlogs and family-friendly content, providing entertainment for young viewers.",No,Corporate / Non-Youtuber
Spinnin' Records,UCB-7IEpKGIdXkgGUObE5D5A,"Spinnin' Records is a corporate YouTube channel representing a Dutch record label and music platform. The channel features a wide range of electronic dance music (EDM) content, including music videos, releases, and artist spotlights.",No,Corporate / Non-Youtuber
Aditya Movies,UCX_uPA_dGf7wXjuMEaSKLJA,"Aditya Movies is a corporate YouTube channel associated with Aditya Music India, featuring a variety of Telugu movies, trailers, and film-related content. The channel caters to fans of Telugu cinema, providing entertainment and updates from the industry",No,Corporate / Non-Youtuber
infobells - Tamil,UCHcn4Ux-sO9nzNu7rDsoQLg,"infobells - Tamil is a corporate YouTube channel associated with infobells, creating animated educational content in Tamil for children. The channel features nursery rhymes, stories, and educational videos, providing a vibrant and engaging learning experience.",No,Corporate / Non-Youtuber
Shawn Mendes,UCwppdrjsBPAZg5_cUwQjfMQ,"Shawn Mendes's official YouTube channel is a corporate account representing the Canadian singer-songwriter. The channel features Shawn Mendes's music videos, live performances, and exclusive behind-the-scenes content, offering fans an intimate look into his musical journey.",No,Corporate / Non-Youtuber
infobells - Telugu,UCHvoq_rGmOKJKGId1nD1V4Q,"infobells - Telugu is a corporate YouTube channel associated with infobells, specializing in creating animated educational content in Telugu for children. The channel offers a variety of educational videos, including rhymes and stories, to make learning enjoyable for young viewers.",No,Corporate / Non-Youtuber
Masha y el Oso,UCuSo4gcgxJRf4Bzu43wwVyg,"Masha y el Oso (Masha and the Bear) is a corporate YouTube channel representing the animated children's series. The channel features episodes of Masha and the Bear, providing entertainment for young audiences with its charming characters and stories.",No,Corporate / Non-Youtuber
Shemaroo Movies,UCOF23vGxkbhN4wl7ROrgXsA,"Shemaroo Movies is a corporate YouTube channel associated with Shemaroo Entertainment, featuring a variety of Bollywood movies, trailers, and film-related content. The channel caters to fans of Indian cinema, offering a diverse range of Bollywood films.",No,Corporate / Non-Youtuber
ashish chanchlani vines,UC7eHZXheF8nVOfwB2PEslMw,"ashish chanchlani vines is an independent Indian YouTube channel known for its comedic sketches, vlogs, and humorous content. With a focus on relatable situations and characters, Ashish Chanchlani entertains his audience with a unique blend of humor and storytelling.",Yes,Variety / General Entertainment
Ultra Records,UC4rasfm9J-X4jNl9SvXp8xA,"Ultra Records is a corporate YouTube channel representing the American electronic music record label. The channel features a wide range of electronic dance music (EDM) content, including music videos, releases, and artist spotlights.",No,Corporate / Non-Youtuber
Maluma,UCGnjeahCJW1AF34HBmQTJ-Q,"Maluma's official YouTube channel is a corporate account representing the Colombian reggaeton and Latin music artist. The channel features Maluma's music videos, live performances, and exclusive content, providing fans with a front-row seat to his musical journey.",No,Corporate / Non-Youtuber
Akshay Nagwadiya,UCz7PhJtc2G8Sre2vCLfmqAw,"Akshay Nagwadiya appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
Aditya Music India,UCNApqoVYJbYSrni4YsbXzyQ,"Aditya Music India is a corporate YouTube channel associated with Aditya Music, featuring a variety of Telugu music videos, songs, and film-related content. The channel caters to fans of Telugu music, providing a platform for music enthusiasts.",No,Corporate / Non-Youtuber
Goldmines Dishoom,UCu7Hg0f3rxqZ6qs-188ZbjQ,"Goldmines Dishoom is a corporate YouTube channel associated with Goldmines Telefilms, featuring a variety of Indian movies, trailers, and film-related content. The channel specializes in Hindi-dubbed movies, offering entertainment for fans of Indian cinema.",No,Corporate / Non-Youtuber
Michael Jackson,UCulYu1HEIa7f70L2lYZWHOw,"Michael Jackson's official YouTube channel is a corporate account representing the iconic King of Pop. The channel features Michael Jackson's music videos, performances, and exclusive content, showcasing his legendary contributions to the music industry.",No,Corporate / Non-Youtuber
AuronPlay,UCyQqzYXQBUWgBTn4pw_fFSQ,"AuronPlay is an independent Spanish YouTube channel known for its comedic commentary, reaction videos, and satirical content. With a humorous and irreverent style, AuronPlay engages his audience with a variety of entertaining videos.",Yes,Variety / General Entertainment
Alejo Igoa,UCZs0WwC0Dn_noiQE2BHSTKg,"Alejo Igoa is an independent Argentine YouTuber known for his vlogs, challenges, and lifestyle content. With a charismatic and relatable approach, Alejo shares his experiences and adventures with his audience.",Yes,Variety / General Entertainment
LankyBox,UCSf0s2ogUVYpJPuzW1zpAOg,"LankyBox is an independent YouTube channel run by Adam and Justin, known for their comedic commentary, reaction videos, and entertaining content. The duo engages their audience with a mix of humor, challenges, and pop culture references.",Yes,Kids / Family
★ Kids Roma Show,UCk8GzjMOrta8yxDcKfylJYw,"★ Kids Roma Show appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content likely caters to a family or children's audience.",Yes,Kids / Family
LeoNata Family,UCMsPm8-25ygqRrRe9_s1WFw,"LeoNata Family appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of family-friendly topics.",Yes,Kids / Family
Drake,UCFNosi99Sp0_eLilBiXmmXA,"Drake's official YouTube channel is a corporate account representing the Canadian rapper and artist. The channel features Drake's music videos, performances, and exclusive content, offering fans a comprehensive collection of his musical work.",No,Corporate / Non-Youtuber
Crazy XYZ,UCCgd2S4UtSl-8Je0CUBje6w,"Crazy XYZ is an independent Indian YouTube channel known for its comedic sketches, pranks, and humorous content. With a focus on entertaining and light-hearted videos, Crazy XYZ captures the attention of a diverse audience.",Yes,Variety / General Entertainment
The Late Late Show with James Corden,UCJ0uqCI0Vqr2Rrt1HseGirg,"The Late Late Show with James Corden is a corporate YouTube channel representing the popular American late-night talk show hosted by James Corden. The channel features highlights, interviews, and entertaining segments from the show.",No,Corporate / Non-Youtuber
JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,"JYP Entertainment's official YouTube channel is a corporate account representing the South Korean entertainment company. The channel features music videos, performances, and exclusive content from artists under JYP Entertainment, contributing to the K-pop industry.",No,Corporate / Non-Youtuber
DanTDM,UCS5Oz6CHmeoF7vSad0qqXfw,"DanTDM is an independent British gaming YouTuber known for his Minecraft videos, Let's Plays, and vlogs. With a focus on family-friendly gaming content, DanTDM has gained a large following in the online gaming community.",Yes,Gaming
toycantando,UC2xjgvWb9cx5F637XjsUNxw,"toycantando is a corporate YouTube channel associated with the Spanish-language children's music brand. The channel features animated nursery rhymes, songs, and educational content, providing entertainment for young Spanish-speaking viewers.",No,Corporate / Non-Youtuber
mujjuu___14,UCHUu2HAnogpaK2UmTSJT8jg,"mujjuu___14 appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could cover various topics based on the creator's interests.",Yes,Variety / General Entertainment
Bounce Patrol - Kids Songs,UC56cowXhoqRWHeqfSJkIQaA,"Bounce Patrol - Kids Songs is a corporate YouTube channel specializing in animated children's songs and educational content. The channel creates engaging and colorful videos, making learning fun for young viewers.",No,Corporate / Non-Youtuber
Nick Jr.,UCUe6ZpY6TJ0no8jI4l2iLxw,"Nick Jr. is a corporate YouTube channel associated with the popular children's television network. The channel features a variety of animated shows, educational content, and children's entertainment, providing a safe and engaging space for young viewers.",No,Corporate / Non-Youtuber
Heroindori,UCunqjMN6EEbXjzU-RvwJrig,"Heroindori appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
Sandeep Maheshwari,UCBqFKDipsnzvJdt6UT0lMIg,"Sandeep Maheshwari's official YouTube channel is a corporate account representing the Indian motivational speaker and entrepreneur. The channel features inspirational talks, motivational speeches, and self-help content, offering valuable insights for personal development.",No,Corporate / Non-Youtuber
NichLmao,UC6VAIqNQBc7ggiqvsOHOBqw,"NichLmao appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
Wiz Khalifa,UCLxOm-UQ1gtyQgfz8Rn34iQ,"Wiz Khalifa's official YouTube channel is a corporate account representing the American rapper and songwriter. The channel features Wiz Khalifa's music videos, performances, and exclusive content, offering fans a glimpse into his musical journey.",No,Corporate / Non-Youtuber
Goldmines Bollywood,UCOF23vGxkbhN4wl7ROrgXsA,"Goldmines Bollywood is a corporate YouTube channel associated with Goldmines Telefilms, featuring a variety of Bollywood movies, trailers, and film-related content. The channel caters to fans of Indian cinema, offering a diverse range of Hindi films.",No,Corporate / Non-Youtuber
Spider Slack,UCtiddfzHXNevG-yYe5vc_4Q,"Spider Slack appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
Brent Rivera,UCbCJmNKAL85O1VFeD6Wj60g,"Brent Rivera's official YouTube channel is a corporate account representing the American social media personality, actor, and singer. The channel features vlogs, challenges, and lifestyle content, giving fans an inside look into Brent's life.",No,Corporate / Non-Youtuber
D Billions,UCi3onjs7UU2Z64i3RrVci-Q,"D Billions appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Kids / Family
Mark Rober,UCX6OQ3DkcsbYNE6H8uQQuVA,"Mark Rober's official YouTube channel is a corporate account representing the American engineer, inventor, and science communicator. The channel features science experiments, inventions, and educational content, engaging viewers with a mix of entertainment and learning.",No,Corporate / Non-Youtuber
김프로KIMPRO,UCiVs2pnGW5mLIc1jS2nxhjg,"김프로KIMPRO appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
Daniel LaBelle,UCb8vrqP8Z7Oz9ZTYvUtjUHQ,"Daniel LaBelle appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Comedy / Humor 
Renato Garcia YT,UCXmkumbopIFTFlwua8sqEag,"Renato Garcia YT appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
Indosiar,UCYqOeAXJm8yV9sJ8Ud3cR7A,"Indosiar's official YouTube channel is a corporate account representing the Indonesian television network. The channel features a variety of shows, entertainment programs, and exclusive content, providing a platform for viewers to enjoy popular Indonesian television content.",No,Corporate / Non-Youtuber
Kids TV - Nursery Rhymes And Baby Songs,UCbCmjCuTUZos6Inko4u57UQ,"Kids TV - Nursery Rhymes And Baby Songs is a corporate YouTube channel specializing in animated nursery rhymes and children's songs. The channel creates colorful and engaging videos, making learning and entertainment accessible for young viewers.",No,Corporate / Non-Youtuber
Netflix,UCuVvjHUPjVsJraijv120D_A,"Netflix's official YouTube channel is a corporate account representing the popular streaming service. The channel features trailers, behind-the-scenes content, and promotional material for Netflix Originals, offering a preview of the diverse content available on the platform.",No,Corporate / Non-Youtuber
